"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","32.00%","16","40","5628","22253","4.80e-2","1.00e+0","1.58","1.00e+0","1.00e+0","2.90e-2"
"GOTERM_BP_DIRECT","regulation of presynaptic membrane potential","4.00%","2","47","33","29712","4.99e-2","1.00e+0","38.31","1.00e+0","1.00e+0","1.25e-3"
"UP_KW_PTM","Phosphoprotein","46.00%","23","30","7858","13214","5.05e-2","6.57e-1","1.29","4.63e-1","6.57e-1","3.82e-2"
"GOTERM_MF_DIRECT","sequence-specific double-stranded DNA binding","8.00%","4","46","551","28924","5.41e-2","1.00e+0","4.56","9.99e-1","1.00e+0","1.13e-2"
"GOTERM_BP_DIRECT","regulation of insulin secretion","4.00%","2","47","41","29712","6.16e-2","1.00e+0","30.84","1.00e+0","1.00e+0","1.93e-3"
"GOTERM_MF_DIRECT","DNA-binding transcription factor activity","8.00%","4","46","585","28924","6.25e-2","1.00e+0","4.30","1.00e+0","1.00e+0","1.38e-2"
"GOTERM_CC_DIRECT","parallel fiber to Purkinje cell synapse","4.00%","2","46","44","29722","6.45e-2","8.60e-1","29.37","9.98e-1","8.60e-1","2.13e-3"
"GOTERM_CC_DIRECT","actin cytoskeleton","6.00%","3","46","274","29722","6.47e-2","8.60e-1","7.07","9.98e-1","8.60e-1","8.78e-3"
"GOTERM_BP_DIRECT","positive regulation of Wnt signaling pathway","4.00%","2","47","44","29712","6.59e-2","1.00e+0","28.74","1.00e+0","1.00e+0","2.22e-3"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","10.00%","5","47","1005","29712","6.94e-2","1.00e+0","3.15","1.00e+0","1.00e+0","2.08e-2"
"UP_SEQ_FEATURE","COMPBIAS:Acidic residues","16.00%","8","40","2121","22253","7.29e-2","1.00e+0","2.10","1.00e+0","1.00e+0","3.27e-2"
"GOTERM_MF_DIRECT","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","4.00%","2","46","49","28924","7.35e-2","1.00e+0","25.66","1.00e+0","1.00e+0","2.77e-3"
"GOTERM_CC_DIRECT","transcription regulator complex","6.00%","3","46","298","29722","7.49e-2","8.70e-1","6.50","9.99e-1","8.70e-1","1.10e-2"
"GOTERM_BP_DIRECT","dendrite morphogenesis","4.00%","2","47","51","29712","7.60e-2","1.00e+0","24.79","1.00e+0","1.00e+0","2.97e-3"
"GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","10.00%","5","46","1043","28924","7.82e-2","1.00e+0","3.01","1.00e+0","1.00e+0","2.44e-2"
"GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","10.00%","5","46","1043","28924","7.82e-2","1.00e+0","3.01","1.00e+0","1.00e+0","2.44e-2"
"GOTERM_BP_DIRECT","synaptic transmission, glutamatergic","4.00%","2","47","56","29712","8.32e-2","1.00e+0","22.58","1.00e+0","1.00e+0","3.57e-3"
"GOTERM_MF_DIRECT","DNA-binding transcription repressor activity, RNA polymerase II-specific","6.00%","3","46","313","28924","8.53e-2","1.00e+0","6.03","1.00e+0","1.00e+0","1.35e-2"
"GOTERM_BP_DIRECT","regulation of postsynapse assembly","4.00%","2","47","58","29712","8.60e-2","1.00e+0","21.80","1.00e+0","1.00e+0","3.83e-3"
"KEGG_PATHWAY","Glycerolipid metabolism","4.00%","2","16","63","9565","9.44e-2","1.00e+0","18.98","9.88e-1","1.00e+0","4.83e-3"
"UP_KW_CELLULAR_COMPONENT","Chromosome","8.00%","4","34","619","18649","9.54e-2","9.01e-1","3.54","8.90e-1","9.01e-1","2.53e-2"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 3","6.00%","3","40","298","22253","9.59e-2","1.00e+0","5.60","1.00e+0","1.00e+0","1.63e-2"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 2","6.00%","3","40","305","22253","9.97e-2","1.00e+0","5.47","1.00e+0","1.00e+0","1.73e-2"

